qid,query
jg_q01,salami pasta
jg_q02,fruit pizza
jg_q03,pineapple and strawberry
jg_q04,masala chicken
jg_q05,beef steak
jg_q06,french fries
jg_q07,tuna sushi
jg_q08,strawberry lemonade
jg_q09,chicken curry
jg_q10,chinese steamed buns
jg_q11,miso soup
jg_q12,Crispy Shrimp Tempura
jg_q13,Korean BBQ
jg_q14,Soybean Sprouts
jg_q15,Hot Dog Sauce
jg_q16,Vegan Pancakes
jg_q17,Classic Waffles
jg_q18,Russian Cabbage Soup
jg_q19,Beef Chop Suey
jg_q20,Salmon Rice Bowl
zy_q00,cheese mushroom pizza
zy_q01,fruit mussie cake
zy_q02,carrot cupcake
zy_q03,caramel banana
zy_q04,honey chocolate cupcake
zy_q05,fruit pie
zy_q06,banana ice cream
zy_q07,spicy instant noodles
zy_q08,spicy chicken sandwich
zy_q09,hot spicy pot
zy_q10,teriyaki beef
zy_q11,garlic bread
zy_q12,butter popcorn
zy_q13,apple pudding
zy_q14,pecan pie
zy_q15,oatmeal cookies
zy_q16,fish soup
zy_q17,gluten free pizza
zy_q18,chocolate cinnamon roll
zy_q19,chicken breast
yn_q01,teriyaki chicken
yn_q02,potato with green pepper and eggplants
yn_q03,roasted turkey
yn_q04,apple pie
yn_q05,coconut oil
yn_q06,hot pot
yn_q07,spicy 
yn_q08,curry chicken with potato
yn_q09,broccoli beef
yn_q10,vegetable salad with chicken
yn_q11,mashed garlic
yn_q12,toast bread with jam
yn_q13,milk chocolate
yn_q14,coffee vanilla
yn_q15,fruit yogurt
yn_q16,celery shrimp dumplings
yn_q17,french fries
yn_q18,salmon pasta
yn_q19,blueberry bagle
yn_q20,green bean with corn
